0.2178000533	3493 360 30
0.2173083867	3793 275
0.2159227376	4113 376
0.2153985955	139 25 924
0.2143384570	9708 18
0.2133944221	728 417
0.2122248790	418 3851 30
0.2119238291	249 119 30
0.2104976056	1525 18
0.2094638542	4260 18
0.2068345248	881 174
0.2060508889	28 4867 199
0.2055699481	521 1047
0.2043387489	524 1805
0.2004162296	4122 27
0.2001634993	1590 897 39
0.1973303788	2288 18
0.1959497820	3621 42
0.1951444720	27 1544 27
0.1949394823	959 376
0.1946080230	457 4414
0.1932290430	20 411
0.1926871777	491 805
0.1915009497	121 34
0.1910009980	5511 25
0.1902699273	32 1095 4594
0.1897963615	544 18
0.1891064514	4004 25
0.1890724224	516 669
0.1882260141	5104 18
0.1873835534	414 1439
0.1869710726	54 25
0.1857571713	13584 275
0.1854819132	535 30
0.1851787840	32 1835
0.1851724906	139 25
0.1825887083	93 3892
0.1821556251	6674 18
0.1813798304	5411 991
0.1811876176	944 42
0.1803797962	1499 27
0.1793631024	20 2098
0.1791550231	3087 18
0.1789400978	6676 25
0.1787064336	15105 455
0.1786292780	919 647
0.1785520968	42 5743 25
0.1773862788	3771 859
0.1765809831	296 3025
0.1765718706	18 4748
0.1758320166	3679 27
0.1753866848	42 1719 18
0.1745738745	1501 859
0.1745161868	885 3213
0.1741085577	4070 4067 30
0.1727259315	980 18
0.1720984078	902 1013
0.1719254288	32 671 3798 897
0.1716455497	623 18
0.1715172705	2098 39
0.1697318077	596 165
0.1694425617	880 18
0.1693685428	1726 859
0.1688439446	418 3599
0.1680082090	32 3025 1182
0.1654878428	7243 25
0.1622519881	109 859
0.1619211499	42 435
0.1615583142	1767 47 165
0.1602335225	378 383
0.1602168328	3771 729
0.1596845731	3243 4959 30
0.1585585417	523 4286
0.1579384449	42 4622 18
0.1578051563	4286 775
0.1575581711	18 879 5007
0.1565998668	121 281 370
0.1561594856	92 1839
0.1544607654	32 3506 30
0.1544537988	32 3840 3525
0.1535200707	1437 25
0.1534259809	54 18
0.1532774871	360 4688
0.1519775625	3025 1075
0.1515674321	32 5419 30
0.1514814325	3499 360 30
0.1508849129	3213 1006
0.1507790359	1584 25
0.1505674321	32 252 30
0.1504607654	32 37 30
0.1498906019	28 4584 30
0.1497507542	18 9249
0.1496284201	3711 2021
0.1496068261	376 3377 30
0.1495674321	28 253 30
0.1494607654	32 671 30
0.1491064288	2573 859
0.1488563723	17 18
0.1485674321	32 1815 30
